building_id,meter,timestamp,meter_reading,site_id,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed,primary_use,square_feet,year_built,month,quarter,day,energy_intensity,co2_emissions
1020,0,2016-11-02 00:00:00,86.6301,10,8.9,4.0,3.3,0.0,1016.5,350.0,3.6,Entertainment/public assembly,22101,,11,4,2,0.003919736663499389,37.250943
987,2,2016-10-04 00:00:00,228.75,9,27.8,0.0,15.6,0.0,1010.0,110.0,2.6,Education,166395,,10,4,4,0.0013747408275489048,98.3625
113,0,2016-01-17 19:00:00,335.625,1,3.6,0.0,1.5,0.0,1023.0,120.0,4.6,Education,100481,1958.0,1,1,17,0.0033401837163244794,144.31875
293,0,2016-07-07 05:00:00,777.22,3,27.2,0.0,24.4,0.0,1011.0,170.0,3.1,Office,408000,2010.0,7,3,7,0.0019049509803921569,334.2046
1176,2,2016-06-26 15:00:00,238.281,13,25.0,2.0,10.0,0.0,1014.5,250.0,5.1,Education,142672,,6,2,26,0.0016701314904115734,102.46083
221,0,2016-11-16 14:00:00,397.85,2,15.6,0.0,1.7,0.0,1010.5,80.0,2.1,Education,204349,1993.0,11,4,16,0.001946914347513323,171.0755
964,2,2016-03-25 09:00:00,256.2,9,7.8,0.0,5.0,0.0,1016.0,0.0,0.0,Education,130577,,3,1,25,0.001962060699816966,110.166
1218,1,2016-05-06 18:00:00,0.0,13,29.4,2.0,8.9,0.0,1008.0,220.0,6.7,Entertainment/public assembly,268480,,5,2,6,0.0,0.0
321,0,2016-09-07 22:00:00,37.63,3,26.7,0.0,20.0,-1.0,1016.5,165.0,1.5,Public services,15913,,9,3,7,0.0023647332369760576,16.1809
185,0,2016-11-26 03:00:00,43.65,2,20.0,0.0,-1.1,0.0,1017.0,120.0,2.1,Education,84300,,11,4,26,0.0005177935943060498,18.7695
263,1,2016-01-21 06:00:00,176.018,2,13.3,0.0,5.0,0.0,1021.0,0.0,0.0,Education,87673,1960.0,1,1,21,0.002007664845505458,75.68774
499,0,2016-01-20 19:00:00,858.25,3,-1.1,0.0,-13.9,0.0,1023.5,210.0,2.1,Education,376507,2011.0,1,1,20,0.002279506091520211,369.0475
920,2,2016-02-05 01:00:00,0.0,9,10.0,0.0,-5.6,0.0,1030.0,120.0,1.5,Education,85623,,2,1,5,0.0,0.0
1225,2,2016-03-19 06:00:00,226.289,14,5.0,0.0,-3.3,0.0,1016.0,10.0,3.1,Office,122746,,3,1,19,0.0018435549834617828,97.30426999999999
200,1,2016-03-10 11:00:00,399.76,2,14.4,0.0,-3.3,0.0,1013.0,90.0,2.6,Entertainment/public assembly,143093,1964.0,3,1,10,0.002793707588770939,171.89679999999998
1311,1,2016-09-15 13:00:00,472.768,14,18.3,0.0,8.9,0.0,1024.0,30.0,4.1,Lodging/residential,66794,,9,3,15,0.007078001018055513,203.29023999999998
192,3,2016-06-09 16:00:00,17.5843,2,31.7,0.0,12.8,0.0,1010.5,165.0,1.5,Education,151637,1983.0,6,2,9,0.00011596312245692013,7.561248999999999
1137,1,2016-08-23 02:00:00,8.9131,13,25.0,2.0,15.0,0.0,1012.5,190.0,5.7,Office,27452,,8,3,23,0.0003246794404779251,3.832633
1312,0,2016-11-14 14:00:00,78.0,14,6.1,0.0,-2.8,0.0,1018.0,220.0,4.1,Lodging/residential,75000,,11,4,14,0.00104,33.54
1428,0,2016-09-14 01:00:00,58.95,15,17.8,4.0,15.6,0.0,1018.5,0.0,0.0,Education,28432,1933.0,9,3,14,0.002073368036015757,25.3485
1172,0,2016-11-02 10:00:00,309.973,13,5.0,0.0,3.9,0.0,1019.5,0.0,0.0,Manufacturing/industrial,63847,,11,4,2,0.004854934452675929,133.28839
1003,0,2016-04-23 13:00:00,84.0,10,13.3,0.0,1.7,0.0,999.5,190.0,8.8,Education,94751,,4,2,23,0.0008865341790587962,36.12
1191,1,2016-07-31 08:00:00,1972.54,13,20.0,0.0,17.2,0.0,1015.5,140.0,2.6,Education,192152,,7,3,31,0.010265518964153378,848.1922
1227,0,2016-06-27 22:00:00,55.0222,14,28.3,0.0,13.3,0.0,1014.0,200.0,3.6,Education,76903,,6,2,27,0.0007154753390634955,23.659546
518,0,2016-11-04 18:00:00,308.28,3,17.2,2.0,3.3,0.0,1023.0,360.0,6.7,Public services,555243,1941.0,11,4,4,0.0005552163647267953,132.5604
62,0,2016-10-16 02:00:00,573.078,0,24.4,0.0,22.2,3.0,1019.5,60.0,5.1,Lodging/residential,42731,2001.0,10,4,16,0.013411293908403734,246.42353999999997
1258,3,2016-12-20 04:00:00,3180.45,14,-5.0,0.0,-13.3,0.0,1038.0,350.0,1.5,Education,273234,,12,4,20,0.011640022837567798,1367.5935
7,1,2016-06-21 13:00:00,5571.77,0,25.6,4.0,18.3,0.0,1021.0,30.0,3.1,Education,121074,1989.0,6,2,21,0.046019541767844466,2395.8611
732,0,2016-01-19 22:00:00,30.0,5,-2.0,0.0,-3.0,0.0,1016.5,80.0,2.1,Education,66187,1976.0,1,1,19,0.00045326121443788053,12.9
1433,0,2016-05-13 15:00:00,36.65,15,16.7,0.0,15.0,5.0,1009.0,230.0,3.1,Education,28084,1913.0,5,2,13,0.001305013530836063,15.7595
986,0,2016-01-04 22:00:00,0.0,9,13.9,0.0,0.0,0.0,1026.0,165.0,2.1,Office,34072,,1,1,4,0.0,0.0
907,0,2016-10-14 22:00:00,25.0,9,30.0,0.0,18.9,0.0,1016.0,165.0,2.1,Entertainment/public assembly,44564,,10,4,14,0.0005609909343865003,10.75
32,0,2016-08-13 07:00:00,593.145,0,23.9,4.0,22.8,0.0,1017.0,0.0,0.0,Office,48392,2005.0,8,3,13,0.012257087948421227,255.05235
281,0,2016-01-17 05:00:00,30.9,2,13.9,0.0,1.1,0.0,1020.0,310.0,2.1,Food sales and service,28862,,1,1,17,0.0010706118772087867,13.286999999999999
761,0,2016-11-07 04:00:00,11.0972,6,8.3,0.0,3.3,0.0,1028.0,0.0,0.0,Entertainment/public assembly,52534,,11,4,7,0.0002112384360604561,4.771796
83,0,2016-02-22 04:00:00,0.0,0,18.3,0.0,13.3,0.0,1020.0,0.0,0.0,Other,2070,1996.0,2,1,22,0.0,0.0
1232,2,2016-07-05 11:00:00,0.0,14,23.3,0.0,21.7,10.0,1008.0,280.0,1.5,Education,181328,,7,3,5,0.0,0.0
973,0,2016-02-09 06:00:00,130.0,9,8.3,0.0,-6.7,0.0,1028.0,320.0,2.6,Office,193960,,2,1,9,0.0006702412868632708,55.9
1129,2,2016-03-23 19:00:00,0.0,13,-0.6,9.0,-3.3,-1.0,1016.5,60.0,8.2,Office,133100,,3,1,23,0.0,0.0
